Time	TS	TMT	TMR	SeqExp	SeqRcv
10:50:04.536	11200	1405673404504	1405673404536	2	2
10:50:04.801	11468	1405673404770	1405673404801	3	3
10:50:05.066	11728	1405673405035	1405673405066	4	4
10:50:05.332	12000	1405673405300	1405673405332	5	5
10:50:05.597	12260	1405673405566	1405673405597	6	6
10:50:05.862	12524	1405673405831	1405673405862	7	7
10:50:06.128	12788	1405673406097	1405673406128	8	8
10:50:06.393	13056	1405673406362	1405673406393	1	9
10:50:06.659	13320	1405673406627	1405673406659	0	0
10:50:06.924	13588	1405673406893	1405673406924	1	1
10:50:07.189	13856	1405673407158	1405673407189	2	2
10:50:07.455	14124	1405673407423	1405673407455	3	3
10:50:07.720	14380	1405673407689	1405673407720	4	4
10:50:07.985	14648	1405673407954	1405673407985	5	5
10:50:08.251	14912	1405673408220	1405673408251	6	6
10:50:08.516	15176	1405673408485	1405673408516	7	7
10:50:08.782	15444	1405673408750	1405673408782	8	8
10:50:09.047	15708	1405673409016	1405673409047	1	9
10:50:09.312	15972	1405673409281	1405673409312	0	0
10:50:09.578	16244	1405673409546	1405673409578	1	1
10:50:09.843	120	1405673409812	1405673409843	2	2
10:50:10.108	384	1405673410077	1405673410108	3	3
10:50:10.374	648	1405673410343	1405673410374	4	4
10:50:10.639	916	1405673410608	1405673410639	5	5
10:50:10.905	1180	1405673410873	1405673410905	6	6
10:50:11.170	1444	1405673411139	1405673411170	7	7
10:50:11.435	1712	1405673411404	1405673411435	8	8
10:50:11.701	1980	1405673411669	1405673411701	1	9
10:50:11.966	2240	1405673411935	1405673411966	0	0
10:50:12.231	2504	1405673412200	1405673412231	1	1
10:50:12.497	2772	1405673412466	1405673412497	2	2
10:50:12.762	3036	1405673412731	1405673412762	3	3
10:50:13.029	3300	1405673412982	1405673413029	4	4
10:50:13.294	3568	1405673413263	1405673413294	5	5
10:50:13.559	3832	1405673413528	1405673413559	6	6
10:50:13.825	4100	1405673413794	1405673413825	7	7
10:50:14.090	4364	1405673414059	1405673414090	8	8
10:50:14.355	4636	1405673414324	1405673414355	1	9
10:50:14.621	4896	1405673414590	1405673414621	0	0
10:50:14.886	5160	1405673414855	1405673414886	1	1
10:50:15.152	5424	1405673415120	1405673415152	2	2
10:50:15.417	5688	1405673415386	1405673415417	3	3
10:50:15.682	5956	1405673415651	1405673415682	4	4
10:50:15.948	6220	1405673415917	1405673415948	5	5
10:50:16.213	6484	1405673416182	1405673416213	6	6
10:50:16.478	6748	1405673416447	1405673416478	7	7
10:50:16.744	7016	1405673416713	1405673416744	8	8
10:50:17.009	7280	1405673416978	1405673417009	1	9
10:50:17.275	7544	1405673417243	1405673417275	0	0
10:50:17.525	7796	1405673417494	1405673417525	1	1
10:50:17.791	8064	1405673417760	1405673417791	2	2
10:50:18.056	8328	1405673418025	1405673418056	3	3
10:50:18.321	8592	1405673418290	1405673418321	4	4
10:50:18.587	8856	1405673418556	1405673418587	5	5
10:50:18.852	9124	1405673418821	1405673418852	6	6
10:50:19.118	9388	1405673419086	1405673419118	7	7
10:50:19.383	9652	1405673419352	1405673419383	8	8
10:50:19.648	9920	1405673419617	1405673419648	1	9
10:50:19.914	10184	1405673419883	1405673419914	0	0
10:50:20.164	10448	1405673420148	1405673420164	1	1
10:50:20.444	10716	1405673420413	1405673420444	2	2
10:50:20.710	10980	1405673420679	1405673420710	3	3
10:50:20.975	11244	1405673420944	1405673420975	4	4
10:50:21.241	11508	1405673421209	1405673421241	5	5
10:50:21.506	11776	1405673421475	1405673421506	6	6
10:50:21.771	12048	1405673421740	1405673421771	7	7
10:50:22.037	12304	1405673422006	1405673422037	8	8
10:50:22.302	12568	1405673422271	1405673422302	1	9
10:50:22.567	12836	1405673422536	1405673422567	0	0
10:50:22.833	13100	1405673422802	1405673422833	1	1
10:50:23.098	13364	1405673423067	1405673423098	2	2
10:50:23.364	13632	1405673423332	1405673423364	3	3
10:50:23.629	13896	1405673423598	1405673423629	4	4
10:50:23.894	14160	1405673423863	1405673423894	5	5
10:50:24.160	14428	1405673424129	1405673424160	6	6
10:50:24.425	14692	1405673424394	1405673424425	7	7
10:50:24.690	14956	1405673424659	1405673424690	8	8
10:50:24.929	15208	1405673424899	1405673424929	1	9
10:50:25.190	15468	1405673425150	1405673425190	0	0
10:50:25.437	15708	1405673425406	1405673425437	1	1
10:50:25.702	15968	1405673425671	1405673425702	2	2
10:50:25.968	16232	1405673425936	1405673425968	3	3
10:50:26.233	116	1405673426202	1405673426233	4	4
10:50:26.498	380	1405673426467	1405673426498	5	5
